# Team 0: AA998, Team 1: SixsevenPoker
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,2,0,0,"['3d', 'As', '2s', '6s', '7h']","['7s', '9d', '8h', '4h', '3s']",[],[],[],1,1
0,Pre-Flop,1,0,0,CALL,0,0,0,"['3d', 'As', '2s', '6s', '7h']","['7s', '9d', '8h', '4h', '3s']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,1,2,"['3d', 'As', '2s', '6s', '7h']","['7s', '9d', '8h', '4h', '3s']","['8s', 'Ad', '5h']",[],[],4,4
0,Flop,0,0,0,DISCARD,0,1,4,"['3d', 'As', '2s', '6s', '7h']","['9d', '8h']","['8s', 'Ad', '5h']",[],"['7s', '4h', '3s']",4,4
0,Flop,1,0,0,CHECK,0,0,0,"['As', '7h']","['9d', '8h']","['8s', 'Ad', '5h']","['3d', '2s', '6s']","['7s', '4h', '3s']",4,4
0,Flop,0,0,0,RAISE,4,0,0,"['As', '7h']","['9d', '8h']","['8s', 'Ad', '5h']","['3d', '2s', '6s']","['7s', '4h', '3s']",4,4
0,Flop,1,0,0,FOLD,0,0,0,"['As', '7h']","['9d', '8h']","['8s', 'Ad', '5h']","['3d', '2s', '6s']","['7s', '4h', '3s']",4,4
1,Pre-Flop,1,4,-4,RAISE,2,0,0,"['As', '9h', '2d', '4h', '4d']","['9d', '8h', '8s', '7d', 'Ah']",[],[],[],1,1
1,Pre-Flop,0,4,-4,RAISE,4,0,0,"['As', '9h', '2d', '4h', '4d']","['9d', '8h', '8s', '7d', 'Ah']",[],[],[],2,2
1,Pre-Flop,1,4,-4,RAISE,9,0,0,"['As', '9h', '2d', '4h', '4d']","['9d', '8h', '8s', '7d', 'Ah']",[],[],[],4,4
1,Pre-Flop,0,4,-4,CALL,0,0,0,"['As', '9h', '2d', '4h', '4d']","['9d', '8h', '8s', '7d', 'Ah']",[],[],[],8,8
1,Flop,0,4,-4,DISCARD,0,2,3,"['As', '9h', '2d', '4h', '4d']","['9d', '8h', '8s', '7d', 'Ah']","['5d', '6s', '3h']",[],[],17,17
1,Flop,1,4,-4,DISCARD,0,1,2,"['2d', '4h']","['9d', '8h', '8s', '7d', 'Ah']","['5d', '6s', '3h']","['As', '9h', '4d']",[],17,17
1,Flop,0,4,-4,RAISE,17,0,0,"['2d', '4h']","['8h', '8s']","['5d', '6s', '3h']","['As', '9h', '4d']","['9d', '7d', 'Ah']",17,17
1,Flop,1,4,-4,FOLD,0,0,0,"['2d', '4h']","['8h', '8s']","['5d', '6s', '3h']","['As', '9h', '4d']","['9d', '7d', 'Ah']",17,17
2,Pre-Flop,0,21,-21,CALL,0,0,0,"['4s', '2d', '3h', 'As', '4h']","['Ad', '8h', '6h', '9s', '5d']",[],[],[],1,1
2,Pre-Flop,1,21,-21,CHECK,0,0,0,"['4s', '2d', '3h', 'As', '4h']","['Ad', '8h', '6h', '9s', '5d']",[],[],[],2,2
2,Flop,1,21,-21,DISCARD,0,0,2,"['4s', '2d', '3h', 'As', '4h']","['Ad', '8h', '6h', '9s', '5d']","['7d', '9d', '8s']",[],[],2,2
2,Flop,0,21,-21,DISCARD,0,0,3,"['4s', '2d', '3h', 'As', '4h']","['Ad', '6h']","['7d', '9d', '8s']",[],"['8h', '9s', '5d']",2,2
2,Flop,1,21,-21,RAISE,3,0,0,"['4s', 'As']","['Ad', '6h']","['7d', '9d', '8s']","['2d', '3h', '4h']","['8h', '9s', '5d']",2,2
