# Team 0: SixsevenPoker, Team 1: Attention Is All You Need
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['9d', '7s', '4h', '5d', '3h']","['2s', '6h', '8s', '3s', '5s']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['9d', '7s', '4h', '5d', '3h']","['2s', '6h', '8s', '3s', '5s']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,1,2,"['9d', '7s', '4h', '5d', '3h']","['2s', '6h', '8s', '3s', '5s']","['Ah', 'Ad', '9h']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,0,1,"['9d', '7s', '4h', '5d', '3h']","['6h', '8s']","['Ah', 'Ad', '9h']",[],"['2s', '3s', '5s']",2,2
0,Flop,1,0,0,CHECK,0,0,0,"['9d', '7s']","['6h', '8s']","['Ah', 'Ad', '9h']","['4h', '5d', '3h']","['2s', '3s', '5s']",2,2
0,Flop,0,0,0,RAISE,2,0,0,"['9d', '7s']","['6h', '8s']","['Ah', 'Ad', '9h']","['4h', '5d', '3h']","['2s', '3s', '5s']",2,2
0,Flop,1,0,0,FOLD,0,0,0,"['9d', '7s']","['6h', '8s']","['Ah', 'Ad', '9h']","['4h', '5d', '3h']","['2s', '3s', '5s']",2,2
1,Pre-Flop,1,2,-2,RAISE,98,0,0,"['5h', '6s', '4d', '6d', '6h']","['2h', '3d', 'As', '2s', 'Ad']",[],[],[],1,1
1,Pre-Flop,0,2,-2,FOLD,0,0,0,"['5h', '6s', '4d', '6d', '6h']","['2h', '3d', 'As', '2s', 'Ad']",[],[],[],2,2
2,Pre-Flop,0,0,0,CALL,0,0,0,"['9h', '3s', '7d', '6d', '8s']","['5h', '3d', '7s', '9s', '9d']",[],[],[],1,1
2,Pre-Flop,1,0,0,RAISE,98,0,0,"['9h', '3s', '7d', '6d', '8s']","['5h', '3d', '7s', '9s', '9d']",[],[],[],2,2
2,Pre-Flop,0,0,0,FOLD,0,0,0,"['9h', '3s', '7d', '6d', '8s']","['5h', '3d', '7s', '9s', '9d']",[],[],[],2,2
3,Pre-Flop,1,-2,2,FOLD,0,0,0,"['4s', '6h', '8h', '9s', '3d']","['2d', '6s', '8s', '9h', '5d']",[],[],[],1,1
