# Team 0: SixsevenPoker, Team 1: SKT T1
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['4h', '6s', '2s', '4d', '2h']","['7d', '6d', 'Ah', '9h', '9d']",[],[],[],1,1
1,Pre-Flop,1,-1,1,CALL,0,0,0,"['9s', '4h', '5h', '5s', '6d']","['4s', '8h', '2h', 'Ad', '2d']",[],[],[],1,1
1,Pre-Flop,0,-1,1,CHECK,0,0,0,"['9s', '4h', '5h', '5s', '6d']","['4s', '8h', '2h', 'Ad', '2d']",[],[],[],2,2
1,Flop,0,-1,1,DISCARD,0,0,4,"['9s', '4h', '5h', '5s', '6d']","['4s', '8h', '2h', 'Ad', '2d']","['6h', '7s', '2s']",[],[],2,2
1,Flop,1,-1,1,DISCARD,0,2,4,"['9s', '6d']","['4s', '8h', '2h', 'Ad', '2d']","['6h', '7s', '2s']","['4h', '5h', '5s']",[],2,2
1,Flop,0,-1,1,CHECK,0,0,0,"['9s', '6d']","['2h', '2d']","['6h', '7s', '2s']","['4h', '5h', '5s']","['4s', '8h', 'Ad']",2,2
1,Flop,1,-1,1,RAISE,4,0,0,"['9s', '6d']","['2h', '2d']","['6h', '7s', '2s']","['4h', '5h', '5s']","['4s', '8h', 'Ad']",2,2
1,Flop,0,-1,1,CALL,0,0,0,"['9s', '6d']","['2h', '2d']","['6h', '7s', '2s']","['4h', '5h', '5s']","['4s', '8h', 'Ad']",2,2
1,Turn,0,-1,1,RAISE,9,0,0,"['9s', '6d']","['2h', '2d']","['6h', '7s', '2s', '6s']","['4h', '5h', '5s']","['4s', '8h', 'Ad']",6,6
1,Turn,1,-1,1,RAISE,21,0,0,"['9s', '6d']","['2h', '2d']","['6h', '7s', '2s', '6s']","['4h', '5h', '5s']","['4s', '8h', 'Ad']",6,6
1,Turn,0,-1,1,RAISE,38,0,0,"['9s', '6d']","['2h', '2d']","['6h', '7s', '2s', '6s']","['4h', '5h', '5s']","['4s', '8h', 'Ad']",15,15
1,Turn,1,-1,1,CALL,0,0,0,"['9s', '6d']","['2h', '2d']","['6h', '7s', '2s', '6s']","['4h', '5h', '5s']","['4s', '8h', 'Ad']",36,36
1,River,0,-1,1,RAISE,26,0,0,"['9s', '6d']","['2h', '2d']","['6h', '7s', '2s', '6s', '3s']","['4h', '5h', '5s']","['4s', '8h', 'Ad']",74,74
1,River,1,-1,1,CALL,0,0,0,"['9s', '6d']","['2h', '2d']","['6h', '7s', '2s', '6s', '3s']","['4h', '5h', '5s']","['4s', '8h', 'Ad']",74,74
2,Pre-Flop,0,-101,101,CALL,0,0,0,"['2d', '6d', '2s', '6h', '8d']","['5s', '4h', 'Ad', '2h', '3h']",[],[],[],1,1
2,Pre-Flop,1,-101,101,CHECK,0,0,0,"['2d', '6d', '2s', '6h', '8d']","['5s', '4h', 'Ad', '2h', '3h']",[],[],[],2,2
2,Flop,1,-101,101,DISCARD,0,1,2,"['2d', '6d', '2s', '6h', '8d']","['5s', '4h', 'Ad', '2h', '3h']","['As', 'Ah', '9h']",[],[],2,2
2,Flop,0,-101,101,DISCARD,0,1,3,"['2d', '6d', '2s', '6h', '8d']","['4h', 'Ad']","['As', 'Ah', '9h']",[],"['5s', '2h', '3h']",2,2
2,Flop,1,-101,101,RAISE,4,0,0,"['6d', '6h']","['4h', 'Ad']","['As', 'Ah', '9h']","['2d', '2s', '8d']","['5s', '2h', '3h']",2,2
2,Flop,0,-101,101,FOLD,0,0,0,"['6d', '6h']","['4h', 'Ad']","['As', 'Ah', '9h']","['2d', '2s', '8d']","['5s', '2h', '3h']",2,2
3,Pre-Flop,1,-103,103,RAISE,3,0,0,"['8d', '8h', '2d', '5d', '4d']","['3h', '9s', '8s', 'As', '2s']",[],[],[],1,1
3,Pre-Flop,0,-103,103,CALL,0,0,0,"['8d', '8h', '2d', '5d', '4d']","['3h', '9s', '8s', 'As', '2s']",[],[],[],2,2
3,Flop,0,-103,103,DISCARD,0,0,1,"['8d', '8h', '2d', '5d', '4d']","['3h', '9s', '8s', 'As', '2s']","['6s', '6h', 'Ad']",[],[],5,5
3,Flop,1,-103,103,DISCARD,0,1,3,"['8d', '8h']","['3h', '9s', '8s', 'As', '2s']","['6s', '6h', 'Ad']","['2d', '5d', '4d']",[],5,5
3,Flop,0,-103,103,CHECK,0,0,0,"['8d', '8h']","['9s', 'As']","['6s', '6h', 'Ad']","['2d', '5d', '4d']","['3h', '8s', '2s']",5,5
3,Flop,1,-103,103,CHECK,0,0,0,"['8d', '8h']","['9s', 'As']","['6s', '6h', 'Ad']","['2d', '5d', '4d']","['3h', '8s', '2s']",5,5
3,Turn,0,-103,103,CHECK,0,0,0,"['8d', '8h']","['9s', 'As']","['6s', '6h', 'Ad', '4s']","['2d', '5d', '4d']","['3h', '8s', '2s']",5,5
3,Turn,1,-103,103,RAISE,10,0,0,"['8d', '8h']","['9s', 'As']","['6s', '6h', 'Ad', '4s']","['2d', '5d', '4d']","['3h', '8s', '2s']",5,5
3,Turn,0,-103,103,FOLD,0,0,0,"['8d', '8h']","['9s', 'As']","['6s', '6h', 'Ad', '4s']","['2d', '5d', '4d']","['3h', '8s', '2s']",5,5
4,Pre-Flop,0,-108,108,CALL,0,0,0,"['3h', '9s', '3d', '7d', 'Ah']","['5s', '6d', 'Ad', '8h', '3s']",[],[],[],1,1
4,Pre-Flop,1,-108,108,RAISE,4,0,0,"['3h', '9s', '3d', '7d', 'Ah']","['5s', '6d', 'Ad', '8h', '3s']",[],[],[],2,2
4,Pre-Flop,0,-108,108,CALL,0,0,0,"['3h', '9s', '3d', '7d', 'Ah']","['5s', '6d', 'Ad', '8h', '3s']",[],[],[],2,2
4,Flop,1,-108,108,DISCARD,0,0,3,"['3h', '9s', '3d', '7d', 'Ah']","['5s', '6d', 'Ad', '8h', '3s']","['5h', '2d', '8s']",[],[],6,6
4,Flop,0,-108,108,DISCARD,0,0,2,"['3h', '9s', '3d', '7d', 'Ah']","['5s', '8h']","['5h', '2d', '8s']",[],"['6d', 'Ad', '3s']",6,6
4,Flop,1,-108,108,RAISE,12,0,0,"['3h', '3d']","['5s', '8h']","['5h', '2d', '8s']","['9s', '7d', 'Ah']","['6d', 'Ad', '3s']",6,6
4,Flop,0,-108,108,FOLD,0,0,0,"['3h', '3d']","['5s', '8h']","['5h', '2d', '8s']","['9s', '7d', 'Ah']","['6d', 'Ad', '3s']",6,6
5,Pre-Flop,1,-114,114,CALL,0,0,0,"['2h', '3h', 'Ah', '2d', 'As']","['7h', '4d', 'Ad', '3d', '6s']",[],[],[],1,1
5,Pre-Flop,0,-114,114,RAISE,3,0,0,"['2h', '3h', 'Ah', '2d', 'As']","['7h', '4d', 'Ad', '3d', '6s']",[],[],[],2,2
5,Pre-Flop,1,-114,114,CALL,0,0,0,"['2h', '3h', 'Ah', '2d', 'As']","['7h', '4d', 'Ad', '3d', '6s']",[],[],[],2,2
5,Flop,0,-114,114,DISCARD,0,0,3,"['2h', '3h', 'Ah', '2d', 'As']","['7h', '4d', 'Ad', '3d', '6s']","['4s', '7d', '2s']",[],[],5,5
5,Flop,1,-114,114,DISCARD,0,0,1,"['2h', '2d']","['7h', '4d', 'Ad', '3d', '6s']","['4s', '7d', '2s']","['3h', 'Ah', 'As']",[],5,5
5,Flop,0,-114,114,RAISE,7,0,0,"['2h', '2d']","['7h', '4d']","['4s', '7d', '2s']","['3h', 'Ah', 'As']","['Ad', '3d', '6s']",5,5
5,Flop,1,-114,114,CALL,0,0,0,"['2h', '2d']","['7h', '4d']","['4s', '7d', '2s']","['3h', 'Ah', 'As']","['Ad', '3d', '6s']",5,5
5,Turn,0,-114,114,RAISE,18,0,0,"['2h', '2d']","['7h', '4d']","['4s', '7d', '2s', '9h']","['3h', 'Ah', 'As']","['Ad', '3d', '6s']",12,12
5,Turn,1,-114,114,FOLD,0,0,0,"['2h', '2d']","['7h', '4d']","['4s', '7d', '2s', '9h']","['3h', 'Ah', 'As']","['Ad', '3d', '6s']",12,12
6,Pre-Flop,0,-102,102,CALL,0,0,0,"['2h', '8h', 'Ah', '2s', '5d']","['4d', '3h', 'Ad', '6h', '6s']",[],[],[],1,1
6,Pre-Flop,1,-102,102,CHECK,0,0,0,"['2h', '8h', 'Ah', '2s', '5d']","['4d', '3h', 'Ad', '6h', '6s']",[],[],[],2,2
6,Flop,1,-102,102,DISCARD,0,3,4,"['2h', '8h', 'Ah', '2s', '5d']","['4d', '3h', 'Ad', '6h', '6s']","['4s', '3s', '7h']",[],[],2,2
6,Flop,0,-102,102,DISCARD,0,0,3,"['2h', '8h', 'Ah', '2s', '5d']","['6h', '6s']","['4s', '3s', '7h']",[],"['4d', '3h', 'Ad']",2,2
6,Flop,1,-102,102,CHECK,0,0,0,"['2h', '2s']","['6h', '6s']","['4s', '3s', '7h']","['8h', 'Ah', '5d']","['4d', '3h', 'Ad']",2,2
6,Flop,0,-102,102,CHECK,0,0,0,"['2h', '2s']","['6h', '6s']","['4s', '3s', '7h']","['8h', 'Ah', '5d']","['4d', '3h', 'Ad']",2,2
6,Turn,1,-102,102,RAISE,4,0,0,"['2h', '2s']","['6h', '6s']","['4s', '3s', '7h', '5s']","['8h', 'Ah', '5d']","['4d', '3h', 'Ad']",2,2
6,Turn,0,-102,102,FOLD,0,0,0,"['2h', '2s']","['6h', '6s']","['4s', '3s', '7h', '5s']","['8h', 'Ah', '5d']","['4d', '3h', 'Ad']",2,2
7,Pre-Flop,1,-104,104,RAISE,3,0,0,"['2s', '6s', '6h', 'Ah', '9s']","['3s', '4d', 'As', '9d', 'Ad']",[],[],[],1,1
7,Pre-Flop,0,-104,104,CALL,0,0,0,"['2s', '6s', '6h', 'Ah', '9s']","['3s', '4d', 'As', '9d', 'Ad']",[],[],[],2,2
7,Flop,0,-104,104,DISCARD,0,1,2,"['2s', '6s', '6h', 'Ah', '9s']","['3s', '4d', 'As', '9d', 'Ad']","['2d', '8h', '3h']",[],[],5,5
7,Flop,1,-104,104,DISCARD,0,2,4,"['6s', '6h']","['3s', '4d', 'As', '9d', 'Ad']","['2d', '8h', '3h']","['2s', 'Ah', '9s']",[],5,5
7,Flop,0,-104,104,CHECK,0,0,0,"['6s', '6h']","['As', 'Ad']","['2d', '8h', '3h']","['2s', 'Ah', '9s']","['3s', '4d', '9d']",5,5
7,Flop,1,-104,104,RAISE,6,0,0,"['6s', '6h']","['As', 'Ad']","['2d', '8h', '3h']","['2s', 'Ah', '9s']","['3s', '4d', '9d']",5,5
7,Flop,0,-104,104,FOLD,0,0,0,"['6s', '6h']","['As', 'Ad']","['2d', '8h', '3h']","['2s', 'Ah', '9s']","['3s', '4d', '9d']",5,5
8,Pre-Flop,0,-109,109,CALL,0,0,0,"['2h', '2s', '4s', '7s', 'Ah']","['9d', '8h', '2d', '6h', '5s']",[],[],[],1,1
8,Pre-Flop,1,-109,109,RAISE,4,0,0,"['2h', '2s', '4s', '7s', 'Ah']","['9d', '8h', '2d', '6h', '5s']",[],[],[],2,2
8,Pre-Flop,0,-109,109,CALL,0,0,0,"['2h', '2s', '4s', '7s', 'Ah']","['9d', '8h', '2d', '6h', '5s']",[],[],[],2,2
8,Flop,1,-109,109,DISCARD,0,0,4,"['2h', '2s', '4s', '7s', 'Ah']","['9d', '8h', '2d', '6h', '5s']","['8s', '9s', 'As']",[],[],6,6
8,Flop,0,-109,109,DISCARD,0,1,3,"['2h', '2s', '4s', '7s', 'Ah']","['9d', '5s']","['8s', '9s', 'As']",[],"['8h', '2d', '6h']",6,6
8,Flop,1,-109,109,RAISE,12,0,0,"['2s', '7s']","['9d', '5s']","['8s', '9s', 'As']","['2h', '4s', 'Ah']","['8h', '2d', '6h']",6,6
8,Flop,0,-109,109,RAISE,18,0,0,"['2s', '7s']","['9d', '5s']","['8s', '9s', 'As']","['2h', '4s', 'Ah']","['8h', '2d', '6h']",6,6
8,Flop,1,-109,109,CALL,0,0,0,"['2s', '7s']","['9d', '5s']","['8s', '9s', 'As']","['2h', '4s', 'Ah']","['8h', '2d', '6h']",18,18
8,Turn,1,-109,109,CHECK,0,0,0,"['2s', '7s']","['9d', '5s']","['8s', '9s', 'As', '6d']","['2h', '4s', 'Ah']","['8h', '2d', '6h']",36,36
8,Turn,0,-109,109,RAISE,54,0,0,"['2s', '7s']","['9d', '5s']","['8s', '9s', 'As', '6d']","['2h', '4s', 'Ah']","['8h', '2d', '6h']",36,36
8,Turn,1,-109,109,FOLD,0,0,0,"['2s', '7s']","['9d', '5s']","['8s', '9s', 'As', '6d']","['2h', '4s', 'Ah']","['8h', '2d', '6h']",36,36
9,Pre-Flop,1,-73,73,RAISE,3,0,0,"['7d', '8h', '2d', '6s', '4h']","['2h', '9s', '6h', 'Ad', '9d']",[],[],[],1,1
9,Pre-Flop,0,-73,73,CALL,0,0,0,"['7d', '8h', '2d', '6s', '4h']","['2h', '9s', '6h', 'Ad', '9d']",[],[],[],2,2
9,Flop,0,-73,73,DISCARD,0,1,3,"['7d', '8h', '2d', '6s', '4h']","['2h', '9s', '6h', 'Ad', '9d']","['3s', '6d', '8d']",[],[],5,5
9,Flop,1,-73,73,DISCARD,0,3,4,"['8h', '6s']","['2h', '9s', '6h', 'Ad', '9d']","['3s', '6d', '8d']","['7d', '2d', '4h']",[],5,5
9,Flop,0,-73,73,CHECK,0,0,0,"['8h', '6s']","['Ad', '9d']","['3s', '6d', '8d']","['7d', '2d', '4h']","['2h', '9s', '6h']",5,5
9,Flop,1,-73,73,RAISE,6,0,0,"['8h', '6s']","['Ad', '9d']","['3s', '6d', '8d']","['7d', '2d', '4h']","['2h', '9s', '6h']",5,5
9,Flop,0,-73,73,FOLD,0,0,0,"['8h', '6s']","['Ad', '9d']","['3s', '6d', '8d']","['7d', '2d', '4h']","['2h', '9s', '6h']",5,5
10,Pre-Flop,0,-78,78,CALL,0,0,0,"['5s', '8h', '5h', '9d', '8s']","['As', '8d', '9h', '7d', '3h']",[],[],[],1,1
10,Pre-Flop,1,-78,78,RAISE,4,0,0,"['5s', '8h', '5h', '9d', '8s']","['As', '8d', '9h', '7d', '3h']",[],[],[],2,2
10,Pre-Flop,0,-78,78,CALL,0,0,0,"['5s', '8h', '5h', '9d', '8s']","['As', '8d', '9h', '7d', '3h']",[],[],[],2,2
10,Flop,1,-78,78,DISCARD,0,1,3,"['5s', '8h', '5h', '9d', '8s']","['As', '8d', '9h', '7d', '3h']","['5d', '6s', '4h']",[],[],6,6
10,Flop,0,-78,78,DISCARD,0,0,2,"['5s', '8h', '5h', '9d', '8s']","['8d', '7d']","['5d', '6s', '4h']",[],"['As', '9h', '3h']",6,6
10,Flop,1,-78,78,CHECK,0,0,0,"['5s', '5h']","['8d', '7d']","['5d', '6s', '4h']","['8h', '9d', '8s']","['As', '9h', '3h']",6,6
10,Flop,0,-78,78,RAISE,7,0,0,"['5s', '5h']","['8d', '7d']","['5d', '6s', '4h']","['8h', '9d', '8s']","['As', '9h', '3h']",6,6
10,Flop,1,-78,78,RAISE,19,0,0,"['5s', '5h']","['8d', '7d']","['5d', '6s', '4h']","['8h', '9d', '8s']","['As', '9h', '3h']",6,6
10,Flop,0,-78,78,CALL,0,0,0,"['5s', '5h']","['8d', '7d']","['5d', '6s', '4h']","['8h', '9d', '8s']","['As', '9h', '3h']",13,13
10,Turn,1,-78,78,CHECK,0,0,0,"['5s', '5h']","['8d', '7d']","['5d', '6s', '4h', 'Ad']","['8h', '9d', '8s']","['As', '9h', '3h']",32,32
10,Turn,0,-78,78,CHECK,0,0,0,"['5s', '5h']","['8d', '7d']","['5d', '6s', '4h', 'Ad']","['8h', '9d', '8s']","['As', '9h', '3h']",32,32
10,River,1,-78,78,RAISE,64,0,0,"['5s', '5h']","['8d', '7d']","['5d', '6s', '4h', 'Ad', '6h']","['8h', '9d', '8s']","['As', '9h', '3h']",32,32
10,River,0,-78,78,RAISE,4,0,0,"['5s', '5h']","['8d', '7d']","['5d', '6s', '4h', 'Ad', '6h']","['8h', '9d', '8s']","['As', '9h', '3h']",32,32
10,River,1,-78,78,CALL,0,0,0,"['5s', '5h']","['8d', '7d']","['5d', '6s', '4h', 'Ad', '6h']","['8h', '9d', '8s']","['As', '9h', '3h']",96,96
11,Pre-Flop,1,22,-22,RAISE,3,0,0,"['6d', '7s', '7d', '9s', 'As']","['3h', '3d', '8d', '8s', '2d']",[],[],[],1,1
11,Pre-Flop,0,22,-22,CALL,0,0,0,"['6d', '7s', '7d', '9s', 'As']","['3h', '3d', '8d', '8s', '2d']",[],[],[],2,2
11,Flop,0,22,-22,DISCARD,0,1,3,"['6d', '7s', '7d', '9s', 'As']","['3h', '3d', '8d', '8s', '2d']","['6s', '8h', '5s']",[],[],5,5
11,Flop,1,22,-22,DISCARD,0,2,3,"['7s', '9s']","['3h', '3d', '8d', '8s', '2d']","['6s', '8h', '5s']","['6d', '7d', 'As']",[],5,5
