# Team 0: SixsevenPoker, Team 1: FLEXasHoldEm
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['Ad', '3s', '6d', '8s', '6h']","['9d', 'Ah', '5d', '3d', '3h']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,11,0,0,"['Ad', '3s', '6d', '8s', '6h']","['9d', 'Ah', '5d', '3d', '3h']",[],[],[],2,2
0,Pre-Flop,0,0,0,CALL,0,0,0,"['Ad', '3s', '6d', '8s', '6h']","['9d', 'Ah', '5d', '3d', '3h']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,0,1,"['Ad', '3s', '6d', '8s', '6h']","['9d', 'Ah', '5d', '3d', '3h']","['7d', '4s', '7h']",[],[],13,13
0,Flop,0,0,0,DISCARD,0,2,4,"['Ad', '3s', '6d', '8s', '6h']","['9d', 'Ah']","['7d', '4s', '7h']",[],"['5d', '3d', '3h']",13,13
0,Flop,1,0,0,CHECK,0,0,0,"['6d', '6h']","['9d', 'Ah']","['7d', '4s', '7h']","['Ad', '3s', '8s']","['5d', '3d', '3h']",13,13
0,Flop,0,0,0,CHECK,0,0,0,"['6d', '6h']","['9d', 'Ah']","['7d', '4s', '7h']","['Ad', '3s', '8s']","['5d', '3d', '3h']",13,13
0,Turn,1,0,0,RAISE,21,0,0,"['6d', '6h']","['9d', 'Ah']","['7d', '4s', '7h', '4d']","['Ad', '3s', '8s']","['5d', '3d', '3h']",13,13
0,Turn,0,0,0,FOLD,0,0,0,"['6d', '6h']","['9d', 'Ah']","['7d', '4s', '7h', '4d']","['Ad', '3s', '8s']","['5d', '3d', '3h']",13,13
1,Pre-Flop,1,-13,13,RAISE,10,0,0,"['Ad', '9h', '2s', '6d', '3d']","['8d', 'As', '8s', '7d', '6h']",[],[],[],1,1
1,Pre-Flop,0,-13,13,CALL,0,0,0,"['Ad', '9h', '2s', '6d', '3d']","['8d', 'As', '8s', '7d', '6h']",[],[],[],2,2
1,Flop,0,-13,13,DISCARD,0,1,2,"['Ad', '9h', '2s', '6d', '3d']","['8d', 'As', '8s', '7d', '6h']","['5h', '2h', '9d']",[],[],12,12
1,Flop,1,-13,13,DISCARD,0,0,2,"['9h', '2s']","['8d', 'As', '8s', '7d', '6h']","['5h', '2h', '9d']","['Ad', '6d', '3d']",[],12,12
1,Flop,0,-13,13,RAISE,18,0,0,"['9h', '2s']","['8d', '8s']","['5h', '2h', '9d']","['Ad', '6d', '3d']","['As', '7d', '6h']",12,12
1,Flop,1,-13,13,CALL,0,0,0,"['9h', '2s']","['8d', '8s']","['5h', '2h', '9d']","['Ad', '6d', '3d']","['As', '7d', '6h']",12,12
1,Turn,0,-13,13,RAISE,45,0,0,"['9h', '2s']","['8d', '8s']","['5h', '2h', '9d', '2d']","['Ad', '6d', '3d']","['As', '7d', '6h']",30,30
1,Turn,1,-13,13,FOLD,0,0,0,"['9h', '2s']","['8d', '8s']","['5h', '2h', '9d', '2d']","['Ad', '6d', '3d']","['As', '7d', '6h']",30,30
2,Pre-Flop,0,17,-17,RAISE,2,0,0,"['8d', 'As', 'Ah', '9s', '3s']","['5d', '8h', '4s', '6h', '7d']",[],[],[],1,1
2,Pre-Flop,1,17,-17,RAISE,11,0,0,"['8d', 'As', 'Ah', '9s', '3s']","['5d', '8h', '4s', '6h', '7d']",[],[],[],2,2
2,Pre-Flop,0,17,-17,RAISE,15,0,0,"['8d', 'As', 'Ah', '9s', '3s']","['5d', '8h', '4s', '6h', '7d']",[],[],[],4,4
2,Pre-Flop,1,17,-17,CALL,0,0,0,"['8d', 'As', 'Ah', '9s', '3s']","['5d', '8h', '4s', '6h', '7d']",[],[],[],15,15
2,Flop,1,17,-17,DISCARD,0,1,3,"['8d', 'As', 'Ah', '9s', '3s']","['5d', '8h', '4s', '6h', '7d']","['9h', '9d', '8s']",[],[],30,30
2,Flop,0,17,-17,DISCARD,0,0,3,"['8d', 'As', 'Ah', '9s', '3s']","['8h', '6h']","['9h', '9d', '8s']",[],"['5d', '4s', '7d']",30,30
2,Flop,1,17,-17,RAISE,45,0,0,"['8d', '9s']","['8h', '6h']","['9h', '9d', '8s']","['As', 'Ah', '3s']","['5d', '4s', '7d']",30,30
2,Flop,0,17,-17,RAISE,25,0,0,"['8d', '9s']","['8h', '6h']","['9h', '9d', '8s']","['As', 'Ah', '3s']","['5d', '4s', '7d']",30,30
2,Flop,1,17,-17,CALL,0,0,0,"['8d', '9s']","['8h', '6h']","['9h', '9d', '8s']","['As', 'Ah', '3s']","['5d', '4s', '7d']",75,75
2,Turn,1,17,-17,CHECK,0,0,0,"['8d', '9s']","['8h', '6h']","['9h', '9d', '8s', '2d']","['As', 'Ah', '3s']","['5d', '4s', '7d']",100,100
2,Turn,0,17,-17,CHECK,0,0,0,"['8d', '9s']","['8h', '6h']","['9h', '9d', '8s', '2d']","['As', 'Ah', '3s']","['5d', '4s', '7d']",100,100
2,River,1,17,-17,CHECK,0,0,0,"['8d', '9s']","['8h', '6h']","['9h', '9d', '8s', '2d', 'Ad']","['As', 'Ah', '3s']","['5d', '4s', '7d']",100,100
2,River,0,17,-17,CHECK,0,0,0,"['8d', '9s']","['8h', '6h']","['9h', '9d', '8s', '2d', 'Ad']","['As', 'Ah', '3s']","['5d', '4s', '7d']",100,100
3,Pre-Flop,1,117,-117,RAISE,12,0,0,"['8d', 'As', '5h', '5d', '6d']","['8s', '8h', '2d', '5s', '4s']",[],[],[],1,1
3,Pre-Flop,0,117,-117,CALL,0,0,0,"['8d', 'As', '5h', '5d', '6d']","['8s', '8h', '2d', '5s', '4s']",[],[],[],2,2
3,Flop,0,117,-117,DISCARD,0,2,3,"['8d', 'As', '5h', '5d', '6d']","['8s', '8h', '2d', '5s', '4s']","['7s', '9s', '7h']",[],[],14,14
