# Team 0: Neural Nuts, Team 1: SixsevenPoker
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['7d', '8s', '3d', '4d', '9d']","['As', '9h', '6d', '3s', '5h']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['7d', '8s', '3d', '4d', '9d']","['As', '9h', '6d', '3s', '5h']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,0,2,"['7d', '8s', '3d', '4d', '9d']","['As', '9h', '6d', '3s', '5h']","['6s', '5s', '6h']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,0,1,"['7d', '8s', '3d', '4d', '9d']","['As', '6d']","['6s', '5s', '6h']",[],"['9h', '3s', '5h']",2,2
0,Flop,1,0,0,RAISE,3,0,0,"['7d', '8s']","['As', '6d']","['6s', '5s', '6h']","['3d', '4d', '9d']","['9h', '3s', '5h']",2,2
0,Flop,0,0,0,CALL,0,0,0,"['7d', '8s']","['As', '6d']","['6s', '5s', '6h']","['3d', '4d', '9d']","['9h', '3s', '5h']",2,2
0,Turn,1,0,0,RAISE,6,0,0,"['7d', '8s']","['As', '6d']","['6s', '5s', '6h', '7s']","['3d', '4d', '9d']","['9h', '3s', '5h']",5,5
0,Turn,0,0,0,CALL,0,0,0,"['7d', '8s']","['As', '6d']","['6s', '5s', '6h', '7s']","['3d', '4d', '9d']","['9h', '3s', '5h']",5,5
0,River,1,0,0,RAISE,13,0,0,"['7d', '8s']","['As', '6d']","['6s', '5s', '6h', '7s', '2h']","['3d', '4d', '9d']","['9h', '3s', '5h']",11,11
0,River,0,0,0,FOLD,0,0,0,"['7d', '8s']","['As', '6d']","['6s', '5s', '6h', '7s', '2h']","['3d', '4d', '9d']","['9h', '3s', '5h']",11,11
1,Pre-Flop,1,-11,11,CALL,0,0,0,"['8d', 'As', '5d', '2d', '4d']","['7d', '9s', '2h', '3s', '4s']",[],[],[],1,1
1,Pre-Flop,0,-11,11,CHECK,0,0,0,"['8d', 'As', '5d', '2d', '4d']","['7d', '9s', '2h', '3s', '4s']",[],[],[],2,2
1,Flop,0,-11,11,DISCARD,0,0,1,"['8d', 'As', '5d', '2d', '4d']","['7d', '9s', '2h', '3s', '4s']","['9d', '6s', '8s']",[],[],2,2
