# Team 0: SixsevenPoker, Team 1: hee
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['2h', '7d', '9s', '8s', '5h']","['3s', 'As', '6s', '4d', '4s']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['2h', '7d', '9s', '8s', '5h']","['3s', 'As', '6s', '4d', '4s']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,3,4,"['2h', '7d', '9s', '8s', '5h']","['3s', 'As', '6s', '4d', '4s']","['8d', '9h', '4h']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,2,3,"['2h', '7d', '9s', '8s', '5h']","['4d', '4s']","['8d', '9h', '4h']",[],"['3s', 'As', '6s']",2,2
0,Flop,1,0,0,RAISE,3,0,0,"['9s', '8s']","['4d', '4s']","['8d', '9h', '4h']","['2h', '7d', '5h']","['3s', 'As', '6s']",2,2
0,Flop,0,0,0,CALL,0,0,0,"['9s', '8s']","['4d', '4s']","['8d', '9h', '4h']","['2h', '7d', '5h']","['3s', 'As', '6s']",2,2
0,Turn,1,0,0,RAISE,8,0,0,"['9s', '8s']","['4d', '4s']","['8d', '9h', '4h', '2d']","['2h', '7d', '5h']","['3s', 'As', '6s']",5,5
0,Turn,0,0,0,CALL,0,0,0,"['9s', '8s']","['4d', '4s']","['8d', '9h', '4h', '2d']","['2h', '7d', '5h']","['3s', 'As', '6s']",5,5
0,River,1,0,0,RAISE,22,0,0,"['9s', '8s']","['4d', '4s']","['8d', '9h', '4h', '2d', '6d']","['2h', '7d', '5h']","['3s', 'As', '6s']",13,13
0,River,0,0,0,CALL,0,0,0,"['9s', '8s']","['4d', '4s']","['8d', '9h', '4h', '2d', '6d']","['2h', '7d', '5h']","['3s', 'As', '6s']",13,13
1,Pre-Flop,1,-35,35,CALL,0,0,0,"['Ad', '4d', '3s', '5h', '2s']","['2d', '5s', '7s', '3d', '8h']",[],[],[],1,1
1,Pre-Flop,0,-35,35,CHECK,0,0,0,"['Ad', '4d', '3s', '5h', '2s']","['2d', '5s', '7s', '3d', '8h']",[],[],[],2,2
1,Flop,0,-35,35,DISCARD,0,0,4,"['Ad', '4d', '3s', '5h', '2s']","['2d', '5s', '7s', '3d', '8h']","['2h', '6h', '7d']",[],[],2,2
1,Flop,1,-35,35,DISCARD,0,0,2,"['Ad', '2s']","['2d', '5s', '7s', '3d', '8h']","['2h', '6h', '7d']","['4d', '3s', '5h']",[],2,2
1,Flop,0,-35,35,CHECK,0,0,0,"['Ad', '2s']","['2d', '7s']","['2h', '6h', '7d']","['4d', '3s', '5h']","['5s', '3d', '8h']",2,2
1,Flop,1,-35,35,RAISE,3,0,0,"['Ad', '2s']","['2d', '7s']","['2h', '6h', '7d']","['4d', '3s', '5h']","['5s', '3d', '8h']",2,2
1,Flop,0,-35,35,CALL,0,0,0,"['Ad', '2s']","['2d', '7s']","['2h', '6h', '7d']","['4d', '3s', '5h']","['5s', '3d', '8h']",2,2
1,Turn,0,-35,35,CHECK,0,0,0,"['Ad', '2s']","['2d', '7s']","['2h', '6h', '7d', '8s']","['4d', '3s', '5h']","['5s', '3d', '8h']",5,5
1,Turn,1,-35,35,RAISE,7,0,0,"['Ad', '2s']","['2d', '7s']","['2h', '6h', '7d', '8s']","['4d', '3s', '5h']","['5s', '3d', '8h']",5,5
1,Turn,0,-35,35,FOLD,0,0,0,"['Ad', '2s']","['2d', '7s']","['2h', '6h', '7d', '8s']","['4d', '3s', '5h']","['5s', '3d', '8h']",5,5
2,Pre-Flop,0,-40,40,CALL,0,0,0,"['2h', '9h', 'Ah', '5s', '8s']","['3h', 'Ad', '9s', '4h', '9d']",[],[],[],1,1
2,Pre-Flop,1,-40,40,RAISE,10,0,0,"['2h', '9h', 'Ah', '5s', '8s']","['3h', 'Ad', '9s', '4h', '9d']",[],[],[],2,2
2,Pre-Flop,0,-40,40,CALL,0,0,0,"['2h', '9h', 'Ah', '5s', '8s']","['3h', 'Ad', '9s', '4h', '9d']",[],[],[],2,2
2,Flop,1,-40,40,DISCARD,0,1,4,"['2h', '9h', 'Ah', '5s', '8s']","['3h', 'Ad', '9s', '4h', '9d']","['3d', '4d', 'As']",[],[],12,12
2,Flop,0,-40,40,DISCARD,0,0,3,"['2h', '9h', 'Ah', '5s', '8s']","['Ad', '9d']","['3d', '4d', 'As']",[],"['3h', '9s', '4h']",12,12
2,Flop,1,-40,40,CHECK,0,0,0,"['2h', '5s']","['Ad', '9d']","['3d', '4d', 'As']","['9h', 'Ah', '8s']","['3h', '9s', '4h']",12,12
2,Flop,0,-40,40,CHECK,0,0,0,"['2h', '5s']","['Ad', '9d']","['3d', '4d', 'As']","['9h', 'Ah', '8s']","['3h', '9s', '4h']",12,12
2,Turn,1,-40,40,CHECK,0,0,0,"['2h', '5s']","['Ad', '9d']","['3d', '4d', 'As', '2d']","['9h', 'Ah', '8s']","['3h', '9s', '4h']",12,12
2,Turn,0,-40,40,CHECK,0,0,0,"['2h', '5s']","['Ad', '9d']","['3d', '4d', 'As', '2d']","['9h', 'Ah', '8s']","['3h', '9s', '4h']",12,12
2,River,1,-40,40,CHECK,0,0,0,"['2h', '5s']","['Ad', '9d']","['3d', '4d', 'As', '2d', '5d']","['9h', 'Ah', '8s']","['3h', '9s', '4h']",12,12
2,River,0,-40,40,CHECK,0,0,0,"['2h', '5s']","['Ad', '9d']","['3d', '4d', 'As', '2d', '5d']","['9h', 'Ah', '8s']","['3h', '9s', '4h']",12,12
3,Pre-Flop,1,-52,52,CALL,0,0,0,"['6d', '4s', '3d', '4d', '5d']","['8s', 'Ad', '8h', '7h', '4h']",[],[],[],1,1
3,Pre-Flop,0,-52,52,CHECK,0,0,0,"['6d', '4s', '3d', '4d', '5d']","['8s', 'Ad', '8h', '7h', '4h']",[],[],[],2,2
3,Flop,0,-52,52,DISCARD,0,1,2,"['6d', '4s', '3d', '4d', '5d']","['8s', 'Ad', '8h', '7h', '4h']","['As', '2d', '5h']",[],[],2,2
3,Flop,1,-52,52,DISCARD,0,3,4,"['4s', '3d']","['8s', 'Ad', '8h', '7h', '4h']","['As', '2d', '5h']","['6d', '4d', '5d']",[],2,2
3,Flop,0,-52,52,RAISE,3,0,0,"['4s', '3d']","['7h', '4h']","['As', '2d', '5h']","['6d', '4d', '5d']","['8s', 'Ad', '8h']",2,2
3,Flop,1,-52,52,FOLD,0,0,0,"['4s', '3d']","['7h', '4h']","['As', '2d', '5h']","['6d', '4d', '5d']","['8s', 'Ad', '8h']",2,2
4,Pre-Flop,0,-50,50,CALL,0,0,0,"['2s', '2d', '7h', '6d', '7s']","['5s', '4h', '4d', '5h', '9s']",[],[],[],1,1
4,Pre-Flop,1,-50,50,CHECK,0,0,0,"['2s', '2d', '7h', '6d', '7s']","['5s', '4h', '4d', '5h', '9s']",[],[],[],2,2
4,Flop,1,-50,50,DISCARD,0,1,2,"['2s', '2d', '7h', '6d', '7s']","['5s', '4h', '4d', '5h', '9s']","['6h', 'Ah', '4s']",[],[],2,2
