# Team 0: FLEXasHoldEm, Team 1: SixsevenPoker
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,10,0,0,"['2s', '7s', '8s', 'As', '6s']","['2d', 'Ah', '5d', '4d', '9d']",[],[],[],1,1
0,Pre-Flop,1,0,0,FOLD,0,0,0,"['2s', '7s', '8s', 'As', '6s']","['2d', 'Ah', '5d', '4d', '9d']",[],[],[],2,2
1,Pre-Flop,1,2,-2,CALL,0,0,0,"['7h', '4h', '8h', '3h', '2h']","['7d', 'As', '3s', '5d', '8s']",[],[],[],1,1
1,Pre-Flop,0,2,-2,RAISE,10,0,0,"['7h', '4h', '8h', '3h', '2h']","['7d', 'As', '3s', '5d', '8s']",[],[],[],2,2
1,Pre-Flop,1,2,-2,CALL,0,0,0,"['7h', '4h', '8h', '3h', '2h']","['7d', 'As', '3s', '5d', '8s']",[],[],[],2,2
1,Flop,0,2,-2,DISCARD,0,0,4,"['7h', '4h', '8h', '3h', '2h']","['7d', 'As', '3s', '5d', '8s']","['2s', 'Ad', '7s']",[],[],12,12
1,Flop,1,2,-2,DISCARD,0,0,1,"['7h', '2h']","['7d', 'As', '3s', '5d', '8s']","['2s', 'Ad', '7s']","['4h', '8h', '3h']",[],12,12
1,Flop,0,2,-2,RAISE,20,0,0,"['7h', '2h']","['7d', 'As']","['2s', 'Ad', '7s']","['4h', '8h', '3h']","['3s', '5d', '8s']",12,12
1,Flop,1,2,-2,CALL,0,0,0,"['7h', '2h']","['7d', 'As']","['2s', 'Ad', '7s']","['4h', '8h', '3h']","['3s', '5d', '8s']",12,12
1,Turn,0,2,-2,RAISE,55,0,0,"['7h', '2h']","['7d', 'As']","['2s', 'Ad', '7s', '2d']","['4h', '8h', '3h']","['3s', '5d', '8s']",32,32
1,Turn,1,2,-2,CALL,0,0,0,"['7h', '2h']","['7d', 'As']","['2s', 'Ad', '7s', '2d']","['4h', '8h', '3h']","['3s', '5d', '8s']",32,32
